,month,crime_ct,delta_yoy,st_adj
0,2018-10-01,398,,3855
1,2018-11-01,331,,3862
2,2018-12-01,314,,3815
3,2019-01-01,324,,3839
4,2019-02-01,256,,3841
5,2019-03-01,262,,3825
6,2019-04-01,314,,3815
7,2019-05-01,393,,3808
8,2019-06-01,400,,3803
9,2019-07-01,391,,3811
10,2019-08-01,395,,3805
11,2019-09-01,396,,3795
12,2019-10-01,378,-0.05025125628140703,3720
13,2019-11-01,358,0.08157099697885206,3809
14,2019-12-01,308,-0.019108280254777066,3806
15,2020-01-01,333,0.02777777777777768,3806
16,2020-02-01,272,0.0625,3797
17,2020-03-01,244,-0.06870229007633588,3784
18,2020-04-01,245,-0.21974522292993626,3784
19,2020-05-01,308,-0.21628498727735368,3784
20,2020-06-01,360,-0.09999999999999998,3763
21,2020-07-01,409,0.04603580562659837,3776
22,2020-08-01,342,-0.13417721518987347,3789
23,2020-09-01,350,-0.11616161616161613,3798
24,2020-10-01,443,0.17195767195767186,3799
25,2020-11-01,405,0.13128491620111737,3767
26,2020-12-01,288,-0.06493506493506496,3743
27,2021-01-01,332,-0.0030030030030030463,3701
28,2021-02-01,264,-0.02941176470588236,3676
29,2021-03-01,229,-0.061475409836065587,3657
30,2021-04-01,243,-0.008163265306122436,3642
31,2021-05-01,322,0.045454545454545414,3614
32,2021-06-01,357,-0.008333333333333304,3611
33,2021-07-01,405,-0.009779951100244544,3593
34,2021-08-01,398,0.16374269005847952,3570
35,2021-09-01,420,0.19999999999999996,3567
36,2021-10-01,428,-0.033860045146726914,3580
37,2021-11-01,371,-0.08395061728395059,3568
38,2021-12-01,338,0.17361111111111116,3551
39,2022-01-01,388,0.16867469879518082,3533
40,2022-02-01,348,0.3181818181818181,3546
41,2022-03-01,290,0.26637554585152845,3543
42,2022-04-01,308,0.2674897119341564,3525
43,2022-05-01,295,-0.08385093167701863,3515
44,2022-06-01,276,-0.22689075630252098,3510
45,2022-07-01,347,-0.14320987654320982,3486
46,2022-08-01,355,-0.1080402010050251,3476
47,2022-09-01,313,-0.25476190476190474,3472
48,2022-10-01,310,-0.2757009345794392,3458
49,2022-11-01,319,-0.14016172506738545,3434
50,2022-12-01,284,-0.1597633136094675,3408
51,2023-01-01,334,-0.1391752577319587,3389
52,2023-02-01,322,-0.07471264367816088,3386
53,2023-03-01,371,0.2793103448275862,3378
54,2023-04-01,406,0.3181818181818181,3362
55,2023-05-01,442,0.4983050847457626,3340
56,2023-06-01,554,1.0072463768115942,3343
57,2023-07-01,669,0.9279538904899136,3343
58,2023-08-01,508,0.43098591549295784,3332
59,2023-09-01,418,0.3354632587859425,3328
60,2023-10-01,490,0.5806451612903225,3335
61,2023-11-01,419,0.3134796238244515,3333
62,2023-12-01,357,0.25704225352112675,3332
